name,url,Country,Region,Street,Zip,location,property_amenties,room_features,hotel_style,hotel_class,price,hotel_score_reviews,totalReview,location_score,cleanliness_score,service_score,value_score
Cavalier Oceanfront Resort,https://www.tripadvisor.in/Hotel_Review-g33039-d80074-Reviews-Cavalier_Oceanfront_Resort-San_Simeon_San_Luis_Obispo_County_California.html,United States,United States California San Simeon,9415 Hearst Drive,93452-9724,"9415 Hearst Drive, San Simeon, CA 93452-9724",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Restaurant Beach Children's_television_networks Pets_Allowed_(_Dog_Pet_Friendly_) ,Air_conditioning Desk Housekeeping Private_balcony Minibar Refrigerator Flatscreen_TV Hair_dryer ,Great_View Mid-range ,3.5,2358.5,4.5,3387,5,4.5,4.5,4
Holiday Inn London Sutton,https://www.tripadvisor.in/Hotel_Review-g504182-d199118-Reviews-Holiday_Inn_London_Sutton-Sutton_Greater_London_England.html,United Kingdom,United Kingdom England Sutton,Gibson Road,SM1 2RF,"Gibson Road, Sutton SM1 2RF England",Parking Free_internet Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Conference_facilities Banquet_room Spa ,Air_conditioning Housekeeping Room_service Flatscreen_TV ,Centrally_Located ,3,1381.5,4,646,4,4,4,3.5
Radisson Blu Edwardian Vanderbilt,https://www.tripadvisor.in/Hotel_Review-g186338-d192118-Reviews-Radisson_Blu_Edwardian_Vanderbilt-London_England.html,United Kingdom,United Kingdom England London Kensington and Hyde Park / South Kensington,68-86 Cromwell Road Kensington and Chelsea,SW7 5BT,"68-86 Cromwell Road Kensington and Chelsea, London SW7 5BT England",Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Business_Center_with_Internet_Access Conference_facilities Baggage_storage Concierge 24-hour_front_desk ,Air_conditioning Housekeeping Room_service Safe Coffee_tea_maker Refrigerator Flatscreen_TV ,Classic ,4,2333.5,4,4945,4.5,4.5,4.5,4
Hilton London Kensington,https://www.tripadvisor.in/Hotel_Review-g186338-d195185-Reviews-Hilton_London_Kensington-London_England.html,United Kingdom,United Kingdom England London,179-199 Holland Park Avenue,W11 4UL,"179-199 Holland Park Avenue, London W11 4UL England",Paid_private_parking_on-site Wifi Fitness_Center_with_Gym_Workout_Room Bar_lounge Car_hire Business_Center_with_Internet_Access Conference_facilities Steam_room ,Air_conditioning Housekeeping Room_service Safe VIP_room_facilities Refrigerator Flatscreen_TV Hair_dryer ,,4,1938.5,3.5,5373,4,4,4,3.5
Hotel OTTO,https://www.tripadvisor.in/Hotel_Review-g187323-d617398-Reviews-Hotel_OTTO-Berlin.html,Germany,Germany Berlin Charlottenburg / Charlottenburg-Wilmersdorf (Borough),Knesebeckstrasse 10,10623,"Knesebeckstrasse 10, 10623 Berlin Germany",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Breakfast_available Bicycle_rental Pets_Allowed_(_Dog_Pet_Friendly_) Taxi_service Fax_photocopying Rooftop_terrace ,Allergy-free_room Desk Housekeeping Safe Telephone Flatscreen_TV Complimentary_toiletries Hair_dryer ,Family Mid-range ,4,1258.5,4.5,1540,4.5,4.5,4.5,4.5
Bedruthan Hotel & Spa,https://www.tripadvisor.in/Hotel_Review-g528856-d279581-Reviews-Bedruthan_Hotel_Spa-Mawgan_Porth_Cornwall_England.html,United Kingdom,United Kingdom England Mawgan Porth,B3276 Trenance,TR8 4BU,"B3276 Trenance, Mawgan Porth TR8 4BU England",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Free_breakfast Beach Tennis_court Babysitting ,Private_beach Fireplace Private_balcony Room_service Flatscreen_TV ,Bay_View Great_View ,4,2361.5,4.5,1614,5,4.5,4.5,4
Sloane Square Hotel,https://www.tripadvisor.in/Hotel_Review-g186338-d195285-Reviews-Sloane_Square_Hotel-London_England.html,United Kingdom,United Kingdom England London Belgravia,7-12 Sloane Square,SW1W 8EG,"7-12 Sloane Square, London SW1W 8EG England",Parking Free_High_Speed_Internet_(WiFi) Coffee_shop Nightclub_DJ Babysitting Fax_photocopying Baggage_storage Concierge ,Air_conditioning Desk Room_service Safe Coffee_tea_maker Minibar Flatscreen_TV Hair_dryer ,Centrally_Located Classic ,4,2511,4.5,1585,5,4.5,4.5,4
Hotel Zi Teresa,https://www.tripadvisor.in/Hotel_Review-g187782-d578848-Reviews-Hotel_Zi_Teresa-Sorrento_Province_of_Naples_Campania.html,Italy,Italy Campania Province of Naples Sorrento,Vico III Rota 3,80067,"Vico III Rota 3, 80067, Sorrento Italy",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Pool Free_breakfast Airport_transportation Solarium Rooftop_terrace Baggage_storage ,Soundproof_rooms Air_conditioning Private_balcony Room_service Safe Refrigerator Flatscreen_TV ,Mid-range Classic ,3,1882.5,4,757,4.5,4.5,4.5,4
"Thistle City Barbican, Shoreditch",https://www.tripadvisor.in/Hotel_Review-g186338-d193098-Reviews-Thistle_City_Barbican_Shoreditch-London_England.html,United Kingdom,United Kingdom England London Islington,120 Central Street Clerkenwell,EC1V 8DS,"120 Central Street Clerkenwell, London EC1V 8DS England",Parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Taxi_service Conference_facilities Banquet_room ,Housekeeping Room_service Safe Flatscreen_TV ,,3,1676,3,4548,3,3.5,3.5,3
Hotel Diana Pompei,https://www.tripadvisor.in/Hotel_Review-g187786-d563645-Reviews-Hotel_Diana_Pompei-Pompeii_Province_of_Naples_Campania.html,Italy,Italy Campania Province of Naples Pompeii,Vicolo Sant'Abbondio 12,80045,"Vicolo Sant'Abbondio 12, 80045 Pompeii Italy",Free_parking Free_High_Speed_Internet_(WiFi) Free_breakfast Hiking Horseback_riding Babysitting Kids'_outdoor_play_equipment Pets_Allowed_(_Dog_Pet_Friendly_) ,Allergy-free_room Soundproof_rooms Air_conditioning Housekeeping Flatscreen_TV ,Mid-range Centrally_Located ,3,794.5,4.5,1750,4.5,5,4.5,4.5
