name,url,Country,Region,Street,Zip,location,property_amenties,room_features,hotel_style,hotel_class,price,hotel_score_reviews,totalReview,location_score,cleanliness_score,service_score,value_score
The Bull,https://www.tripadvisor.in/Hotel_Review-g552018-d217975-Reviews-The_Bull-Beaumaris_Anglesey_North_Wales_Wales.html,United Kingdom,United Kingdom Wales North Wales Anglesey Beaumaris,Castle Street,LL58 8AP,"Castle Street, Beaumaris LL58 8AP Wales",Free_High_Speed_Internet_(WiFi) Bar_lounge Fax_photocopying Baggage_storage Newspaper 24-hour_front_desk Laundry_service Ironing_service ,Desk Room_service Seating_area Iron Wake-up_service_alarm_clock Flatscreen_TV Bath_shower Complimentary_toiletries ,Historic_Hotel Charming ,5,1566.5,4,663,4.5,4.5,4,4
The Mill Hotel,https://www.tripadvisor.in/Hotel_Review-g186233-d496873-Reviews-The_Mill_Hotel-Chester_Cheshire_England.html,United Kingdom,United Kingdom England Chester,Milton Street,CH1 3NF,"Milton Street, Chester CH1 3NF England",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Free_breakfast Business_Center_with_Internet_Access Meeting_rooms Spa ,Housekeeping Room_service Flatscreen_TV ,Mid-range River_View ,3,1397,4,2046,4.5,4,4.5,4
Sheraton Heathrow Hotel,https://www.tripadvisor.in/Hotel_Review-g191261-d198889-Reviews-Sheraton_Heathrow_Hotel-West_Drayton_Greater_London_England.html,United Kingdom,United Kingdom England West Drayton,Heathrow Airport Colnbrook Bypass,UB7 0HJ,"Heathrow Airport Colnbrook Bypass, West Drayton UB7 0HJ England",Paid_private_parking_on-site Wifi Fitness_Center_with_Gym_Workout_Room Bar_lounge Bicycle_rental Airport_transportation Business_Center_with_Internet_Access Conference_facilities ,Blackout_curtains Soundproof_rooms Air_conditioning Housekeeping Interconnected_rooms_available Minibar Flatscreen_TV Bath_shower ,,4,1283,4,310,4,4.5,4,4
NH Roma Villa Carpegna,https://www.tripadvisor.in/Hotel_Review-g187791-d229083-Reviews-NH_Roma_Villa_Carpegna-Rome_Lazio.html,Italy,Italy Lazio Rome Aurelio,"Via Pio IV, 6 Gregorio Vii, Villa Doria Pamphilj, Aurelia Antica",165,"Via Pio IV, 6 Gregorio Vii, Villa Doria Pamphilj, Aurelia Antica, 00165 Rome Italy",Parking_garage Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Pets_Allowed_(_Dog_Pet_Friendly_) Airport_transportation Business_Center_with_Internet_Access ,Soundproof_rooms Air_conditioning Housekeeping Room_service Safe Minibar Flatscreen_TV ,Green Family ,4,1390.5,4,1766,3.5,4,4,4
Stella Guest House,https://www.tripadvisor.in/Hotel_Review-g190724-d601105-Reviews-Stella_Guest_House-Llandudno_Conwy_County_North_Wales_Wales.html,United Kingdom,United Kingdom Wales North Wales Llandudno,64 Church Walks,LL30 2HG,"64 Church Walks, Llandudno LL30 2HG Wales",Free_High_Speed_Internet_(WiFi) Wifi Free_breakfast Hiking Fishing Non-smoking_hotel Outdoor_furniture Shared_lounge_TV_area ,Iron Flatscreen_TV Bath_shower Complimentary_toiletries Hair_dryer ,Business Charming ,4,835.5,5,260,5,5,5,5
Crowne Plaza Liverpool - John Lennon Airport,https://www.tripadvisor.in/Hotel_Review-g186337-d224720-Reviews-Crowne_Plaza_Liverpool_John_Lennon_Airport-Liverpool_Merseyside_England.html,United Kingdom,United Kingdom England Liverpool,Liverpool Airport The Aerodrome Speke Road,L24 8QD,"Liverpool Airport The Aerodrome Speke Road, Liverpool L24 8QD England",Free_parking Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Airport_transportation Business_Center_with_Internet_Access Conference_facilities Baggage_storage ,Air_conditioning Housekeeping Room_service Flatscreen_TV ,Art_Deco_Style Mid-range ,4,1154,4,1725,4,4.5,4,4
Mercure Paris Centre Eiffel Tower Hotel,https://www.tripadvisor.in/Hotel_Review-g187147-d197656-Reviews-Mercure_Paris_Centre_Eiffel_Tower_Hotel-Paris_Ile_de_France.html,France,France Ile-de-France Paris Grenelle / 15th Arr. - Vaugirard,20 Rue Jean Rey,75015,"20 Rue Jean Rey, 75015 Paris France",Parking Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Taxi_service Business_Center_with_Internet_Access Conference_facilities 24-hour_security ,Bathrobes Air_conditioning Housekeeping Room_service Safe Coffee_tea_maker Flatscreen_TV Bath_shower ,Great_View ,4,2397,4,5592,4.5,4,4,3.5
Centara Ras Fushi Resort & Spa Maldives,https://www.tripadvisor.in/Hotel_Review-g298571-d3941005-Reviews-Centara_Ras_Fushi_Resort_Spa_Maldives-Male.html,,Maldives Kaafu Atoll North Male Atoll Male,,20225,Male 20225,Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Free_breakfast Beach Canoeing Free_airport_transportation Spa ,Air_conditioning Private_beach Housekeeping Private_balcony Room_service Minibar Refrigerator Flatscreen_TV ,Great_View ,4,7698,4.5,3122,4.5,4.5,4.5,4.5
Port Douglas Motel,https://www.tripadvisor.in/Hotel_Review-g255070-d1567949-Reviews-Port_Douglas_Motel-Port_Douglas_Queensland.html,Australia,Australia Queensland Port Douglas,9 Davidson St Just 50 metres from Macrossan Street,4877,"9 Davidson St Just 50 metres from Macrossan Street, Port Douglas, Queensland 4877 Australia",Free_parking Free_High_Speed_Internet_(WiFi) Pool Complimentary_instant_cofffee Snorkeling Fishing BBQ_facilities Baggage_storage ,Air_conditioning Safe Seating_area Sofa Coffee_tea_maker Kitchenette Flatscreen_TV Bath_shower ,Family Centrally_Located ,3,881,5,812,5,5,5,4.5
Amora Hotel Jamison Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d284258-Reviews-Amora_Hotel_Jamison_Sydney-Sydney_New_South_Wales.html,Australia,Australia New South Wales Sydney Central Business District,11 Jamison Street,2000,"11 Jamison Street, Sydney, New South Wales 2000 Australia",Parking_garage Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Evening_entertainment Airport_transportation Business_Center_with_Internet_Access ,Air_conditioning Housekeeping Room_service Safe Minibar Flatscreen_TV On-demand_movies Bath_shower ,Business Centrally_Located ,5,1690.5,4.5,11196,4.5,4.5,4.5,4
Mantra Pandanas Darwin,https://www.tripadvisor.in/Hotel_Review-g255066-d858522-Reviews-Mantra_Pandanas_Darwin-Darwin_Top_End_Northern_Territory.html,Australia,Australia Northern Territory Top End Darwin,43 Knuckey St,800,"43 Knuckey St, Darwin, Northern Territory 0800 Australia",Paid_public_parking_on-site Wifi Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Bicycle_rental Car_hire Business_Center_with_Internet_Access ,Private_balcony Room_service Safe Kitchenette Flatscreen_TV ,Great_View Mid-range ,4,973.5,4,1257,4.5,4.5,4,4
The Lakes Resort Cairns,https://www.tripadvisor.in/Hotel_Review-g255069-d262577-Reviews-The_Lakes_Resort_Cairns-Cairns_Cairns_Region_Queensland.html,Australia,Australia Queensland Cairns Region Cairns,2 Greenslopes St,4870,"2 Greenslopes St, Cairns, Queensland 4870 Australia",Free_parking Pool Bar_lounge Tennis_court Car_hire BBQ_facilities Baggage_storage Express_check-in_check-out ,Air_conditioning Desk Dining_area Private_balcony Coffee_tea_maker Kitchenette Flatscreen_TV Bath_shower ,Family_Resort Quiet ,4.5,1211.5,4,645,3.5,4,3.5,4
Novotel Madrid Center,https://www.tripadvisor.in/Hotel_Review-g187514-d501066-Reviews-Novotel_Madrid_Center-Madrid.html,Spain,Spain Community of Madrid Madrid Salamanca (District) / Goya / Barrio de Salamanca,Calle o'Donnell 53,28009,"Calle o'Donnell 53, 28009 Madrid Spain",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Pool Bar_lounge Taxi_service Business_Center_with_Internet_Access Conference_facilities Baggage_storage ,Air_conditioning Housekeeping Room_service Safe Minibar Refrigerator Flatscreen_TV ,Modern Mid-range ,4,1609,4,2417,4.5,4.5,4.5,4
Hotel Front Maritim,https://www.tripadvisor.in/Hotel_Review-g187497-d228621-Reviews-Hotel_Front_Maritim-Barcelona_Catalonia.html,Spain,Spain Catalonia Province of Barcelona Barcelona Diagonal Mar i el Front Marítim del Poblenou / Sant Martí,Passeig Garcia Faria 69-71,8019,"Passeig Garcia Faria 69-71, 08019 Barcelona Spain",Paid_private_parking_nearby Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Beach Bicycle_rental Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Desk Room_service Safe Coffee_tea_maker Flatscreen_TV Hair_dryer ,Ocean_View ,4,1402,3.5,1173,3.5,4,3.5,3.5
Hotel Apogia Nice,https://www.tripadvisor.in/Hotel_Review-g187234-d228748-Reviews-Hotel_Apogia_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,France,France Provence-Alpes-Cote d'Azur French Riviera - Cote d'Azur Nice Port,26 rue Smolett,6300,"26 rue Smolett, 06300 Nice France",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Bar_lounge Pets_Allowed_(_Dog_Pet_Friendly_) Banquet_room Meeting_rooms Baggage_storage Concierge ,Blackout_curtains Soundproof_rooms Air_conditioning Desk Housekeeping Refrigerator Flatscreen_TV Bath_shower ,Business ,3.5,1322.5,3,451,3.5,3.5,3.5,3.5
Charme Hotel,https://www.tripadvisor.in/Hotel_Review-g194868-d498975-Reviews-Charme_Hotel-Prato_Province_of_Prato_Tuscany.html,Italy,Italy Tuscany Province of Prato Prato,Via delle Badie 228,59100,"Via delle Badie 228, 59100, Prato Italy",Free_parking Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Children_Activities_(Kid_Family_Friendly) Pets_Allowed_(_Dog_Pet_Friendly_) Airport_transportation Business_Center_with_Internet_Access ,Air_conditioning Room_service Safe Minibar Flatscreen_TV ,Business Family ,4,997.5,3.5,143,3,4,3.5,3.5
Marina Hotel Corinthia Beach Resort,https://www.tripadvisor.in/Hotel_Review-g227101-d275942-Reviews-Marina_Hotel_Corinthia_Beach_Resort-Saint_Julian_s_Island_of_Malta.html,Malta,Malta Island of Malta Saint Julian's,St. George's Bay,STJ 3390,"St. George's Bay, Saint Julian's, Island of Malta STJ 3390 Malta",Parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Beach Evening_entertainment Airport_transportation ,Air_conditioning Housekeeping Private_balcony Room_service Safe Minibar Flatscreen_TV ,Great_View Ocean_View ,5,1958.5,4.5,2716,4.5,4.5,4.5,4
Sheraton Milwaukee Brookfield Hotel,https://www.tripadvisor.in/Hotel_Review-g59733-d219711-Reviews-Sheraton_Milwaukee_Brookfield_Hotel-Brookfield_Wisconsin.html,United States,United States Wisconsin Brookfield,375 South Moorland Road,53005,"375 South Moorland Road, Brookfield, WI 53005",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Airport_transportation Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Housekeeping Room_service Safe Bottled_water Refrigerator Flatscreen_TV ,Family Business ,3,1366.5,3.5,749,4,4,4,4
Los Poblanos Historic Inn & Organic Farm,https://www.tripadvisor.in/Hotel_Review-g3679772-d215076-Reviews-Los_Poblanos_Historic_Inn_Organic_Farm-Los_Ranchos_de_Albuquerque_New_Mexico.html,United States,United States New Mexico Los Ranchos de Albuquerque,4803 Rio Grande Blvd NW,87107-5520,"4803 Rio Grande Blvd NW, Los Ranchos de Albuquerque, NM 87107-5520",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Restaurant Bicycle_rental Conference_facilities Banquet_room ,Allergy-free_room Bathrobes Air_conditioning Housekeeping Seating_area Telephone Refrigerator Cable_satellite_TV ,,3,3783.5,4.5,772,5,5,4.5,4.5
Madison Concourse Hotel and Governor's Club,https://www.tripadvisor.in/Hotel_Review-g60859-d100940-Reviews-Madison_Concourse_Hotel_and_Governor_s_Club-Madison_Wisconsin.html,United States,United States Wisconsin Madison,1 W Dayton St,53703-2582,"1 W Dayton St, Madison, WI 53703-2582",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Free_airport_transportation Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Fireplace Housekeeping Room_service Safe Refrigerator Flatscreen_TV On-demand_movies ,Centrally_Located Classic ,3,2009.5,4.5,1716,5,4.5,4.5,4.5
Quality Inn Near Hollywood Walk Of Fame,https://www.tripadvisor.in/Hotel_Review-g32655-d84515-Reviews-Quality_Inn_Near_Hollywood_Walk_Of_Fame-Los_Angeles_California.html,United States,United States California Los Angeles Hollywood,1520 N La Brea Ave,90028-7004,"1520 N La Brea Ave, Los Angeles, CA 90028-7004",Free_parking Free_High_Speed_Internet_(WiFi) Pool Free_breakfast Fax_photocopying Newspaper Non-smoking_hotel 24-hour_front_desk ,Air_conditioning Desk Housekeeping Iron Coffee_tea_maker Microwave Refrigerator Flatscreen_TV ,Family Centrally_Located ,2,1989,3.5,641,4.5,3.5,3.5,3.5
Courtyard San Diego Airport/Liberty Station,https://www.tripadvisor.in/Hotel_Review-g60750-d1027494-Reviews-Courtyard_San_Diego_Airport_Liberty_Station-San_Diego_California.html,United States,United States California San Diego,2592 Laning Rd,92106-6418,"2592 Laning Rd, San Diego, CA 92106-6418",Paid_public_parking_on-site Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Bicycle_rental Bicycles_available Free_airport_transportation ,Blackout_curtains Air_conditioning Desk Fireplace Housekeeping Cable_satellite_TV Sofa_bed Walk-in_shower ,Mid-range Bay_View ,3,2367,4.5,1340,4.5,4.5,4.5,4.5
Hotel Monterey Yokohama,https://www.tripadvisor.in/Hotel_Review-g298173-d299603-Reviews-Hotel_Monterey_Yokohama-Yokohama_Kanagawa_Prefecture_Kanto.html,Japan,Japan Kanto Kanagawa Prefecture Yokohama Kannai,"6-1 Yamashitacho, Naka-Ku",231-0023,"6-1 Yamashitacho, Naka-Ku, Yokohama 231-0023 Kanagawa Prefecture",Parking Free_High_Speed_Internet_(WiFi) Hot_tub Restaurant Conference_facilities Banquet_room Concierge 24-hour_front_desk ,Air_conditioning Telephone Refrigerator Flatscreen_TV ,Harbor_View Family ,4,1477.5,4,590,4.5,4.5,4,4
Hilton London Syon Park,https://www.tripadvisor.in/Hotel_Review-g7377416-d1866672-Reviews-Hilton_London_Syon_Park-Brentford_Ealing_Greater_London_England.html,United Kingdom,United Kingdom England Ealing Brentford,London Road,TW8 8JF,"London Road, Brentford, Ealing TW8 8JF England",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Business_Center_with_Internet_Access Conference_facilities Spa ,Air_conditioning Housekeeping Private_balcony Room_service Safe Refrigerator Electric_kettle Flatscreen_TV ,Modern ,4,2899,4,2275,4,4.5,4,4
Howard Johnson by Wyndham Torrance,https://www.tripadvisor.in/Hotel_Review-g33182-d84136-Reviews-Howard_Johnson_by_Wyndham_Torrance-Torrance_California.html,United States,United States California Torrance,3673 Torrance Blvd,90503-4804,"3673 Torrance Blvd, Torrance, CA 90503-4804",Free_parking Parking Free_High_Speed_Internet_(WiFi) Wifi Free_breakfast Breakfast_buffet Non-smoking_hotel ,Air_conditioning Microwave Flatscreen_TV ,Centrally_Located ,2,1317.5,3.5,576,4.5,4,4,4
Holiday Inn Los Angeles - LAX Airport,https://www.tripadvisor.in/Hotel_Review-g32655-d77923-Reviews-Holiday_Inn_Los_Angeles_LAX_Airport-Los_Angeles_California.html,United States,United States California Los Angeles Westside,9901 S La Cienega Blvd,90045-5915,"9901 S La Cienega Blvd, Los Angeles, CA 90045-5915",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Free_airport_transportation Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Housekeeping Room_service Safe Refrigerator Flatscreen_TV ,Family ,3,1438.5,3.5,72,4,3.5,3.5,3.5
Baileys Hotel Cashel,https://www.tripadvisor.in/Hotel_Review-g212096-d574398-Reviews-Baileys_Hotel_Cashel-Cashel_County_Tipperary.html,Ireland,Ireland Province of Munster Cashel,42 Main St. Co. Tipperary,,"42 Main St. Co. Tipperary, Cashel Ireland",Free_parking Free_High_Speed_Internet_(WiFi) Free_breakfast Fishing Fax_photocopying Baggage_storage Non-smoking_hotel 24-hour_front_desk ,Air_conditioning Room_service Safe Iron Flatscreen_TV Complimentary_toiletries ,Historic_Hotel ,4,1516.5,4.5,752,4.5,5,4.5,4.5
Hilton Portland Downtown,https://www.tripadvisor.in/Hotel_Review-g52024-d96157-Reviews-Hilton_Portland_Downtown-Portland_Oregon.html,United States,United States Oregon Portland Downtown,921 SW 6th Ave,97204-1124,"921 SW 6th Ave, Portland, OR 97204-1124",Electric_vehicle_charging_station Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Pets_Allowed_(_Dog_Pet_Friendly_) Business_Center_with_Internet_Access Conference_facilities 24-hour_security ,Allergy-free_room Blackout_curtains Air_conditioning Desk Coffee_tea_maker Cable_satellite_TV Sofa_bed Bath_shower ,City_View Centrally_Located ,3,2931.5,4.5,835,4.5,4.5,4.5,4
Comfort Inn & Suites,https://www.tripadvisor.in/Hotel_Review-g34227-d239874-Reviews-Comfort_Inn_Suites-Fort_Lauderdale_Broward_County_Florida.html,United States,United States Florida Fort Lauderdale,3551 W Commercial Blvd,33309-3309,"3551 W Commercial Blvd, Fort Lauderdale, FL 33309-3309",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Free_breakfast Children_Activities_(Kid_Family_Friendly) Business_Center_with_Internet_Access Meeting_rooms ,Air_conditioning Housekeeping Safe Telephone Iron Kitchenette Microwave Flatscreen_TV ,Mid-range ,3,1331.5,3.5,301,3.5,3.5,4,3.5
Quality Inn & Suites Airport,https://www.tripadvisor.in/Hotel_Review-g52024-d624449-Reviews-Quality_Inn_Suites_Airport-Portland_Oregon.html,United States,United States Oregon Portland,9727 NE Sandy Blvd,97220-4226,"9727 NE Sandy Blvd, Portland, OR 97220-4226",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Free_breakfast Bicycle_rental Kids_stay_free Free_airport_transportation ,Air_conditioning Fireplace Housekeeping Microwave Refrigerator Flatscreen_TV ,,2,1049,3.5,367,4,4,4,4
Chelsea Hotel Toronto,https://www.tripadvisor.in/Hotel_Review-g155019-d183778-Reviews-Chelsea_Hotel_Toronto-Toronto_Ontario.html,Canada,Canada Ontario Toronto Downtown / Bay Street Corridor / Old Toronto,33 Gerrard Street W,M5G 1Z4,"33 Gerrard Street W, Toronto, Ontario M5G 1Z4 Canada",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Children_Activities_(Kid_Family_Friendly) Kids_club Pets_Allowed_(_Dog_Pet_Friendly_) ,Air_conditioning Housekeeping Private_balcony Room_service Safe VIP_room_facilities Flatscreen_TV ,Centrally_Located Family ,4,1723,3.5,8217,4.5,4,4,3.5
London Wembley International Hotel,https://www.tripadvisor.in/Hotel_Review-g528820-d262274-Reviews-London_Wembley_International_Hotel-Wembley_Greater_London_England.html,United Kingdom,United Kingdom England Wembley,Empire Way,HA9 0NH,"Empire Way, Wembley HA9 0NH England",Free_parking Free_internet Bar_lounge Walking_tours Kids_stay_free Highchairs_available Conference_facilities Banquet_room ,Blackout_curtains Air_conditioning Desk Housekeeping Room_service Flatscreen_TV Bath_shower Complimentary_toiletries ,,3,1204.5,3,770,4,3.5,3.5,4
The Eliza Jane,https://www.tripadvisor.in/Hotel_Review-g60864-d498233-Reviews-The_Eliza_Jane-New_Orleans_Louisiana.html,United States,United States Louisiana New Orleans Central Business District / Warehouse/Central Business District,315 Magazine St.,70130-2424,"315 Magazine St., New Orleans, LA 70130-2424",Valet_parking Free_High_Speed_Internet_(WiFi) Hot_tub Fitness_Center_with_Gym_Workout_Room Bar_lounge Children_Activities_(Kid_Family_Friendly) Business_Center_with_Internet_Access Meeting_rooms ,Air_conditioning Housekeeping Room_service Safe Refrigerator Flatscreen_TV ,Charming Historic_Hotel ,3,2874.5,4.5,682,5,5,4.5,4.5
Econo Lodge Portland Airport,https://www.tripadvisor.in/Hotel_Review-g52024-d96111-Reviews-Econo_Lodge_Portland_Airport-Portland_Oregon.html,United States,United States Oregon Portland,9520 NE Sandy Blvd,97220-4223,"9520 NE Sandy Blvd, Portland, OR 97220-4223",Free_parking Free_High_Speed_Internet_(WiFi) Hot_tub Sauna Free_breakfast Golf_course Pets_Allowed_(_Dog_Pet_Friendly_) Fax_photocopying ,Air_conditioning Housekeeping Telephone Wake-up_service_alarm_clock Coffee_tea_maker Microwave Flatscreen_TV Bath_shower ,Budget ,2,815,3,158,4,3.5,3.5,4
Doubletree by Hilton Philadelphia Center City,https://www.tripadvisor.in/Hotel_Review-g60795-d102480-Reviews-Doubletree_by_Hilton_Philadelphia_Center_City-Philadelphia_Pennsylvania.html,United States,United States Pennsylvania Philadelphia,237 South Broad St Broad and Locust Streets,19107-5686,"237 South Broad St Broad and Locust Streets, Philadelphia, PA 19107-5686",Valet_parking Wifi Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Business_Center_with_Internet_Access Conference_facilities 24-hour_security ,Allergy-free_room Air_conditioning Housekeeping Room_service Safe Coffee_tea_maker Flatscreen_TV Hair_dryer ,Centrally_Located Great_View ,3,2460,4,4197,4.5,4,4,4
Quality Inn Long Island City - Astoria,https://www.tripadvisor.in/Hotel_Review-g48080-d671388-Reviews-Quality_Inn_Long_Island_City_Astoria-Long_Island_City_Queens_New_York.html,United States,United States New York Queens Long Island City,3003 40th Ave,11101-2811,"3003 40th Ave, Long Island City, NY 11101-2811",Paid_private_parking_nearby Free_High_Speed_Internet_(WiFi) Free_breakfast Fax_photocopying Baggage_storage Newspaper 24-hour_front_desk Laundry_service ,Air_conditioning Desk Housekeeping Safe Coffee_tea_maker Refrigerator Flatscreen_TV Complimentary_toiletries ,Business ,2,1427,4,460,4,4,4,4
Comfort Hotel Boersparken,https://www.tripadvisor.in/Hotel_Review-g190479-d206356-Reviews-Comfort_Hotel_Boersparken-Oslo_Eastern_Norway.html,Norway,Norway Eastern Norway Oslo Sentrum,Tollbugata 4,152,"Tollbugata 4, Oslo 0152 Norway",Paid_public_parking_nearby Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Free_breakfast Nightclub_DJ Pets_Allowed_(_Dog_Pet_Friendly_) Taxi_service Fax_photocopying ,Allergy-free_room Housekeeping Flatscreen_TV ,Centrally_Located Modern ,3,1240,4,2419,4.5,4,4,4
Comfort Hotel Xpress Stockholm Central,https://www.tripadvisor.in/Hotel_Review-g189852-d206396-Reviews-Comfort_Hotel_Xpress_Stockholm_Central-Stockholm.html,Sweden,Sweden Stockholm Norrmalm,Kungsbron 1,111 22,"Kungsbron 1, Stockholm 111 22 Sweden",Free_internet Wifi Bar_lounge Breakfast_available Pets_Allowed_(_Dog_Pet_Friendly_) Baggage_storage Non-smoking_hotel Express_check-in_check-out ,Air_conditioning Desk Housekeeping Interconnected_rooms_available Flatscreen_TV ,Quiet Centrally_Located ,3,1029.5,4,2792,5,4.5,4,4
Clarion Hotel Copenhagen Airport,https://www.tripadvisor.in/Hotel_Review-g2555539-d227150-Reviews-Clarion_Hotel_Copenhagen_Airport-Kastrup_Taarnby_Municipality_Copenhagen_Region_Zealan.html,Denmark,Denmark Zealand Copenhagen Region Taarnby Municipality Kastrup,Ellehammersvej 20,2770,"Ellehammersvej 20, Kastrup 2770 Denmark",Parking Free_internet Hot_tub Fitness_Center_with_Gym_Workout_Room Bar_lounge Bicycle_rental Business_Center_with_Internet_Access Conference_facilities ,Blackout_curtains Bathrobes Air_conditioning Fireplace Housekeeping Coffee_tea_maker Flatscreen_TV Walk-in_shower ,,5,2366.5,4.5,4194,4.5,4.5,4.5,4
Ramada Plaza by Wyndham Toronto Downtown,https://www.tripadvisor.in/Hotel_Review-g155019-d188278-Reviews-Ramada_Plaza_by_Wyndham_Toronto_Downtown-Toronto_Ontario.html,Canada,Canada Ontario Toronto Downtown / Garden District / Church and Wellesley (The Village) / Church-Yonge Corridor / Old Toronto,300 Jarvis St,M5B 2C5,"300 Jarvis St, Toronto, Ontario M5B 2C5 Canada",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Squash Car_hire Business_Center_with_Internet_Access ,Air_conditioning Housekeeping Room_service VIP_room_facilities Iron Flatscreen_TV ,Mid-range Centrally_Located ,3,1753,3.5,1838,4,4,3.5,3.5
DoubleTree by Hilton London Ealing,https://www.tripadvisor.in/Hotel_Review-g186338-d195210-Reviews-DoubleTree_by_Hilton_London_Ealing-London_England.html,United Kingdom,United Kingdom England London,2-8 Hanger Lane,W5 3HN,"2-8 Hanger Lane, London W5 3HN England",Paid_public_parking_on-site Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Taxi_service Business_Center_with_Internet_Access Conference_facilities Baggage_storage ,Blackout_curtains Air_conditioning Room_service Safe Bottled_water Flatscreen_TV ,Business Mid-range ,4,1550,4,2331,4,4.5,4.5,4
Aqua Palms Waikiki,https://www.tripadvisor.in/Hotel_Review-g60982-d559726-Reviews-Aqua_Palms_Waikiki-Honolulu_Oahu_Hawaii.html,United States,United States Hawaii Oahu Honolulu Waikiki,1850 Ala Moana Blvd,96815-1602,"1850 Ala Moana Blvd, Honolulu, Oahu, HI 96815-1602",Valet_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Vending_machine Video_game_console Fax_photocopying BBQ_facilities ,Air_conditioning Private_beach Housekeeping Private_balcony Coffee_tea_maker Microwave Flatscreen_TV Bath_shower ,Centrally_Located ,3,1958.5,4,2087,4.5,4,4,4.5
Ramada Plaza by Wyndham Waikiki,https://www.tripadvisor.in/Hotel_Review-g60982-d87018-Reviews-Ramada_Plaza_by_Wyndham_Waikiki-Honolulu_Oahu_Hawaii.html,United States,United States Hawaii Oahu Honolulu Waikiki,1830 Ala Moana Blvd,96815-1602,"1830 Ala Moana Blvd, Honolulu, Oahu, HI 96815-1602",Paid_public_parking_on-site Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Complimentary_instant_cofffee Bicycle_rental Boating Kids_stay_free ,Blackout_curtains Air_conditioning Desk Housekeeping Interconnected_rooms_available Coffee_tea_maker Flatscreen_TV Bath_shower ,Family ,3,1847,4,1771,4,4.5,4,4
Hampton Inn & Suites Chicago - Downtown,https://www.tripadvisor.in/Hotel_Review-g35805-d111486-Reviews-Hampton_Inn_Suites_Chicago_Downtown-Chicago_Illinois.html,United States,United States Illinois Chicago Central / Near North Side,"33 West Illinois St At the corner of Illinois & Dearborn, just west of State Street",60654-4957,"33 West Illinois St At the corner of Illinois & Dearborn, just west of State Street, Chicago, IL 60654-4957",Valet_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Free_breakfast Business_Center_with_Internet_Access Conference_facilities Baggage_storage ,Air_conditioning Interconnected_rooms_available Safe Flatscreen_TV ,Family Green ,3,2182.5,4.5,3126,4.5,4.5,4.5,4.5
